Date,SalesRep,Region,Product,Color,Units,Revenue,,,,,,,,,,,,
42314,Julie,East,Sunshine,Blue,4,78.8,,,,,,,,,,,,
42315,Adam,West,Bellen,Clear,4,123,,,,,,,,,,,,
42315,Julie,East,Aspen,Clear,1,26,,,,,,,,,,,,
42315,Nabil,South,Quad,Clear,2,69,,,,,,,,,,,,
42315,Julie,South,Aspen,Blue,2,51,,,,,,,,,,,,
42316,Adam,South,Carlota,Red,3,71.85,,,,,,,,,,,,
42316,Adam,West,Doublers,Blue,2,162.9,,,,,,,,,,,,
42317,Julie,East,Aspen,Blue,2,43,,,,,,,,,,,,
42317,Julie,South,Sunshine,Clear,6,122.7,,,,,,,,,,,,
42317,Jessica,South,Bellen,Red,15,330,,,,,,,,,,,,
42317,Jessica,East,Sunbell,Clear,2,51,,,,,,,,,,,,
42317,Julie,West,Carlota,Red,2,48.9,,,,,,,,,,,,
42317,Nicole,West,Sunbell,Red,2,53,,,,,,,,,,,,
42318,Nicole,East,Quad,Blue,2,69,,,,,,,,,,,,
42318,Nabil,South,Quad,Blue,19,616.7,,,,,,,,,,,,
42318,Nicole,West,Sunbell,Rainbow,3,78,,,,,,,,,,,,
42318,Julie,South,Sunbell*,Blue,2,51,,,,,,,,,,,,
42318,Adam,East,Carlota,Purple,3,71.85,,,,,,,,,,,,
42318,Julie,South,Doublers,Clear,2,158.9,,,,,,,,,,,,
42318,Mike,East,Quad,Red,1,36,,,,,,,,,,,,
42318,Adam,West,Doublers,Red,3,73.5,,,,,,,,,,,,
42318,Mike,East,Carlota,Red,1,24.95,,,,,,,,,,,,
42318,Nicole,South,Doublers,Rainbow,4,314.8,,,,,,,,,,,,
42319,Julie,East,Doublers,Red,2,50,,,,,,,,,,,,
42319,Julie,West,Quad,Clear,1,37,,,,,,,,,,,,
42320,Nicole,East,Doublers,Blue,2,50,,,,,,,,,,,,
42320,Adam,South,Bellen,Blue,1,33,,,,,,,,,,,,
42320,Adam,West,Sunbell,Red,2,53,,,,,,,,,,,,
42320,Nicole,West,Aspen,Blue,1,24,,,,,,,,,,,,
42320,Julie,South,Bellen,Rainbow,1,25.95,,,,,,,,,,,,
42320,Jessica,South,Sunbell,Red,2,51,,,,,,,,,,,,
42320,Jessica,West,Aspen,Clear,3,75,,,,,,,,,,,,
42321,Adam,East,Quad,Rainbow,2,67,,,,,,,,,,,,
42321,Nabil,East,Quad,Red,3,99,,,,,,,,,,,,
42321,Julie,East,Sunshine,Blue,3,59.85,,,,,,,,,,,,
42321,Julie,East,Carlota,Rainbow,21,460.8,,,,,,,,,,,,
42322,Adam,West,Aspen,Clear,2,51,,,,,,,,,,,,
42322,Julie,South,Sunshine,Blue,2,42.9,,,,,,,,,,,,
42322,Jessica,West,Sunshine,Red,3,62.85,,,,,,,,,,,,
42322,Mike,South,Sunbell,Blue,3,75,,,,,,,,,,,,
42323,Mike,East,Doublers,Blue,1,82.95,,,,,,,,,,,,
42323,Julie,West,Doublers,Rainbow,2,162.9,,,,,,,,,,,,
42323,Julie,South,Quad,Purple,1,36,,,,,,,,,,,,
42323,Mike,West,Sunbell,Blue,3,85.5,,,,,,,,,,,,
42324,Adam,East,Sunbell,Blue,2,58,,,,,,,,,,,,
42324,Jessica,West,Sunbell,Purple,19,499.47,,,,,,,,,,,,
42324,Nabil,West,Carlota,Blue,1,25.95,,,,,,,,,,,,
42324,Nicole,East,Bellen,Rainbow,2,59,,,,,,,,,,,,
42324,Adam,South,Sunshine,Clear,2,42.9,,,,,,,,,,,,
42324,Nabil,West,Doublers,Purple,1,82.95,,,,,,,,,,,,
42324,Nabil,West,Sunbell,Rainbow,3,85.5,,,,,,,,,,,,
42324,Julie,West,Carlota,Clear,1,25.95,,,,,,,,,,,,
42324,Julie,West,Aspen,Rainbow,2,53,,,,,,,,,,,,
42325,Mike,South,Sunbell,Red,3,75,,,,,,,,,,,,
42325,Nabil,West,Quad,Clear,2,71,,,,,,,,,,,,
42325,Nabil,South,Bellen,Clear,1,25.95,,,,,,,,,,,,
42325,Nabil,South,Doublers,Blue,2,48,,,,,,,,,,,,
42325,Jessica,West,Quad,Red,1,21,,,,,,,,,,,,
42325,Nabil,West,Aspen,Red,1,23,,,,,,,,,,,,
42326,Jessica,West,Aspen,Red,2,51,,,,,,,,,,,,
42326,Julie,East,Sunbell,Clear,4,99,,,,,,,,,,,,
42326,Adam,East,Sunshine,Clear,3,59.85,,,,,,,,,,,,
42326,Jessica,South,Carlota,Red,2,48.9,,,,,,,,,,,,
42327,Mike,East,Bellen,Rainbow,1,25.95,,,,,,,,,,,,
42327,Adam,South,Carlota,Red,4,94.8,,,,,,,,,,,,
42327,Nicole,South,Carlota,Purple,15,330,,,,,,,,,,,,
42327,Nabil,West,Carlota,Rainbow,2,48.9,,,,,,,,,,,,
42327,Julie,South,Aspen,Purple,2,43,,,,,,,,,,,,
42328,Julie,West,Carlota,Rainbow,2,48.9,,,,,,,,,,,,
42328,Julie,South,Quad,Red,1,36,,,,,,,,,,,,
42328,Julie,East,Quad,Red,2,69,,,,,,,,,,,,
42328,Mike,East,Aspen,Purple,3,75,,,,,,,,,,,,
42328,Mike,South,Aspen,Clear,1,23,,,,,,,,,,,,
42328,Mike,West,Sunbell,Red,3,75,,,,,,,,,,,,
42329,Jessica,East,Bellen,Blue,3,71.85,,,,,,,,,,,,
42329,Nabil,South,Doublers,Clear,2,50,,,,,,,,,,,,
42329,Mike,West,Sunbell,Rainbow,2,51,,,,,,,,,,,,
42329,Nicole,East,Quad,Red,2,67,,,,,,,,,,,,
42330,Nabil,West,Sunshine,Red,1,22.95,,,,,,,,,,,,
42330,Mike,East,Quad,Red,3,57,,,,,,,,,,,,
42330,Julie,West,Sunshine,Red,2,42.9,,,,,,,,,,,,
42330,Adam,West,Aspen,Red,2,53,,,,,,,,,,,,
42330,Mike,South,Bellen,Clear,1,25.95,,,,,,,,,,,,
42330,Jessica,West,Sunbell,Rainbow,3,78,,,,,,,,,,,,
42330,Nicole,West,Quad,Blue,2,71,,,,,,,,,,,,
42330,Nicole,East,Sunbell,Red,1,29.5,,,,,,,,,,,,
42331,Julie,South,Aspen,Red,3,63,,,,,,,,,,,,
42331,Adam,East,Quad,Red,3,99,,,,,,,,,,,,
42331,Mike,West,Aspen,Rainbow,2,51,,,,,,,,,,,,
42331,Mike,South,Carlota,Blue,3,71.85,,,,,,,,,,,,
42332,Adam,East,Bellen,Rainbow,3,90,,,,,,,,,,,,
42332,Jessica,West,Bellen,Red,3,71.85,,,,,,,,,,,,
42333,Nabil,South,Aspen,Blue,12,231,,,,,,,,,,,,
42333,Julie,West,Sunbell,Red,3,78,,,,,,,,,,,,
42333,Mike,South,Quad,Rainbow,2,69,,,,,,,,,,,,
42333,Adam,West,Quad,Red,3,102,,,,,,,,,,,,
42333,Mike,West,Bellen,Rainbow,21,581.55,,,,,,,,,,,,
42333,Julie,West,Sunshine,Red,1,22.95,,,,,,,,,,,,
42334,Julie,South,Bellen,Rainbow,2,48.9,,,,,,,,,,,,
42334,Mike,West,Quad,Red,3,102,,,,,,,,,,,,
42334,Nabil,West,Sunshine,Red,3,62.85,,,,,,,,,,,,
42334,Nicole,West,Aspen,Blue,1,28,,,,,,,,,,,,
42334,Mike,South,Quad,Clear,3,102,,,,,,,,,,,,
42334,Jessica,South,Bellen,Purple,2,48.9,,,,,,,,,,,,
42334,Nabil,West,Bellen,Red,2,48.9,,,,,,,,,,,,
42334,Julie,South,Sunshine,Clear,1,22.95,,,,,,,,,,,,
42335,Julie,West,Carlota,Red,1,25.95,,,,,,,,,,,,
42335,Jessica,West,Aspen,Red,2,53,,,,,,,,,,,,
42335,Mike,South,Sunshine,Rainbow,22,419.9,,,,,,,,,,,,
42335,Mike,South,Sunbell,Red,1,27,,,,,,,,,,,,
42335,Adam,East,Quad,Clear,2,67,,,,,,,,,,,,
42335,Julie,West,Bellen,Blue,19,526.45,,,,,,,,,,,,
42336,Mike,East,Sunbell,Red,2,49,,,,,,,,,,,,
42336,Mike,South,Aspen,Clear,2,51,,,,,,,,,,,,
42336,Jessica,West,Aspen,Rainbow,23,461.85,,,,,,,,,,,,
42336,Nabil,West,Sunshine,Red,3,62.85,,,,,,,,,,,,
42336,Mike,East,Doublers,Rainbow,2,154.9,,,,,,,,,,,,
42337,Nicole,West,Sunshine,Rainbow,3,62.85,,,,,,,,,,,,
42337,Nabil,South,Doublers,Red,11,238.18,,,,,,,,,,,,
42337,Mike,West,Bellen,Rainbow,2,61,,,,,,,,,,,,
42338,Julie,South,Aspen,Rainbow,2,51,,,,,,,,,,,,
42338,Julie,South,Bellen,Red,3,71.85,,,,,,,,,,,,
42338,Adam,South,Sunbell,Blue,2,51,,,,,,,,,,,,
42338,Adam,West,Carlota,Blue,1,25.95,,,,,,,,,,,,
42339,Adam,East,Quad,Clear,7,234,,,,,,,,,,,,
42339,Mike,West,Bellen,Blue,2,48.9,,,,,,,,,,,,
42339,Julie,West,Carlota,Red,20,439,,,,,,,,,,,,
42339,Julie,West,Aspen,Purple,1,23,,,,,,,,,,,,
42339,Julie,South,Sunbell,Blue,2,51,,,,,,,,,,,,
